Departamento,Código da Disciplina,Descrição da Disciplina,Nível de Ensino,Curso(s),Carga Horária,Teórica/Prática,Cód. Pré-Requisitos,Cód. Co-Requisitos,Data da Apuração
COORDENAÇÃO DE REGISTRO ACADÊMICO - AX,4ELT.20,ELETRÔNICA APLICADA II,TÉCNICO INTEGRADO,"TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA",80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - AX,4ELT.25,LABORATÓRIO DE ELETRÔNICA DE POTÊNCIA,TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA,80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - AX,4ELT.26,ELETRÔNICA DE POTÊNCIA,TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA,80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - AX,4ELT.27,LABORATÓRIO DE SISTEMAS MICROPROCESSADOS,TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA,80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - AX,4ELT.28,SISTEMAS MICROPROCESSADOS,TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA,80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - AX,4ELT.29,LABORATÓRIO DE SISTEMAS DE COMUNICAÇÃO,TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA,80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - AX,4ELT.30,SISTEMAS DE COMUNICAÇÃO,TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA,80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - AX,4ELT.31,LABORATÓRIO DE SISTEMAS DE CONTROLE,TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA,80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - AX,4ELT.32,SISTEMAS DE CONTROLE,TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA,80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - AX,4ETG.001.001,ESTÁGIO CURRICULAR OBRIGATÓRIO,TÉCNICO INTEGRADO,"TÉCNICO EM ELETRÔNICA (SUBSEQUENTE) , TÉCNICO DE NÍVEL MÉDIO EM MINERAÇÃO , TÉCNICO EM EDIFICAÇÕES (SUBSEQUENTE) , TÉCNICO EM ELETRÔNICA (SUBSEQUENTE) , TÉCNICO EM ELETRÔNICA , TÉCNICO EM MINERAÇÃO , TÉCNICO EM EDIFICAÇÕES , TÉCNICO EM ELETRÔNICA , TÉCNICO EM MINERAÇÃO (SUBSEQUENTE) , TÉCNICO DE NÍVEL MÉDIO EM EDIFICAÇÕES , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA",360,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - AX,4FGE.11,EDUCAÇÃO FÍSICA - 1ª SÉRIE,TÉCNICO INTEGRADO,"TÉCNICO DE NÍVEL MÉDIO EM MECÂNICA , TÉCNICO DE NÍVEL MÉDIO EM MINERAÇÃO , TÉCNICO DE NÍVEL MÉDIO EM EDIFICAÇÕES , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA",80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - AX,4FGE.12,EDUCAÇÃO FÍSICA - 2ª SÉRIE,TÉCNICO INTEGRADO,"TÉCNICO DE NÍVEL MÉDIO EM MECÂNICA , TÉCNICO DE NÍVEL MÉDIO EM MINERAÇÃO , TÉCNICO DE NÍVEL MÉDIO EM EDIFICAÇÕES , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA",80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - AX,4FGE.13,LÍNGUA PORTUGUESA - 1ª SÉRIE,TÉCNICO INTEGRADO,"TÉCNICO DE NÍVEL MÉDIO EM MECÂNICA , TÉCNICO DE NÍVEL MÉDIO EM MINERAÇÃO , TÉCNICO DE NÍVEL MÉDIO EM EDIFICAÇÕES , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA",80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - AX,4FGE.14,LÍNGUA PORTUGUESA - 2ª SÉRIE,TÉCNICO INTEGRADO,"TÉCNICO DE NÍVEL MÉDIO EM MECÂNICA , TÉCNICO DE NÍVEL MÉDIO EM MINERAÇÃO , TÉCNICO DE NÍVEL MÉDIO EM EDIFICAÇÕES , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA",80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - AX,4FGE.15,LÍNGUA PORTUGUESA - 3ª SÉRIE,TÉCNICO INTEGRADO,"TÉCNICO DE NÍVEL MÉDIO EM MECÂNICA , TÉCNICO DE NÍVEL MÉDIO EM MINERAÇÃO , TÉCNICO DE NÍVEL MÉDIO EM EDIFICAÇÕES , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA",80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - AX,4FGE.16,REDAÇÃO - 1ª SÉRIE,TÉCNICO INTEGRADO,"TÉCNICO DE NÍVEL MÉDIO EM MECÂNICA , TÉCNICO DE NÍVEL MÉDIO EM MINERAÇÃO , TÉCNICO DE NÍVEL MÉDIO EM EDIFICAÇÕES , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA",80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
